,article,qid,total_pageviews,description,category,page_size,revisions_since_2024
233,Electrical_muscle_stimulation,Q653580,5628,elicitation of muscle contraction using electric impulses,Mid-importance,27960.0,30
445,List_of_awareness_ribbons,Q2585434,91484,Wikimedia list article,Low-importance,39796.0,21
561,Occupational_burnout,Q327988,58354,"type of work-related stress, with symptoms characterized by feelings of energy depletion or exhaustion; increased mental distance from oneâ€™s job, or feelings of negativism or cynicism related to one's job; and reduced professional efficacy",High-importance,110271.0,685
502,Michael_Greger,Q6830782,56390,"American physician, author, and health activist",Low-importance,40665.0,154
93,Blue_Cross_Blue_Shield,Q4929017,3315,federation of 36 separate United States health insurance organizations and companies,Low-importance,48.0,0
660,Rebound_exercise,Q3931260,506,type of elastically leveraged low-impact exercise,Low-importance,14765.0,11
523,MyPyramid,Q6944857,110,nutrition guide,Low-importance,13975.0,1
422,Kettlebell,Q376762,3586,"piece of equipment used in weight training, consisting of a handle and a belly of the bell",Unknown-importance,22051.0,65
665,Resistance_band,Q2882175,698,elastic band used for strength training and physical therapy,Low-importance,4711.0,11
194,Department_of_Health_(Philippines),Q3545669,98,Philippine government agency,Unknown-importance,22647.0,44
